"ID" "Year" "LAI_Med" "Municipality"
"Druskininkai.2010" 8 2010 2.29468085106383 "Druskininkai"
"Lazdijai.2010" 9 2010 2.88882696390658 "Lazdijai"
"Varena.2010" 10 2010 3.08017769343569 "Varena"
"Birstonas.2010" 11 2010 2.7225 "Birstonas"
"Jonava.2010" 12 2010 3.12052522460263 "Jonava"
"Kedainiai.2010" 13 2010 2.78083029672046 "Kedainiai"
"Kaisiadorys.2010" 14 2010 3.30867746043296 "Kaisiadorys"
"Kaunas.2010" 15 2010 2.82696469981963 "Kaunas"
"Prienai.2010" 16 2010 3.13071895424837 "Prienai"
"Raseiniai.2010" 17 2010 3.03031649083842 "Raseiniai"
"Silute.2010" 18 2010 3.18301507537688 "Silute"
"Klaipeda.2010" 19 2010 2.98929793125916 "Klaipeda"
"Kretinga.2010" 20 2010 3.08003935286401 "Kretinga"
"Neringa.2010" 21 2010 2.186 "Neringa"
"Palanga.2010" 22 2010 2.8289156626506 "Palanga"
"Skuodas.2010" 23 2010 2.86068996822515 "Skuodas"
"Sakiai.2010" 24 2010 2.92811457174638 "Sakiai"
"Marijampole.2010" 25 2010 3.00745970427601 "Marijampole"
"Vilkaviskis.2010" 26 2010 2.66779344317989 "Vilkaviskis"
"Birzai.2010" 27 2010 2.96034658511723 "Birzai"
"Kupiskis.2010" 28 2010 2.96572226656026 "Kupiskis"
"Panevezys.2010" 29 2010 2.92834083349638 "Panevezys"
"Pasvalys.2010" 30 2010 2.42844436986071 "Pasvalys"
"Rokiskis.2010" 31 2010 3.23467469879518 "Rokiskis"
"Silale.2010" 32 2010 3.82028684657483 "Silale"
"Jurbarkas.2010" 33 2010 3.25968181166691 "Jurbarkas"
"Taurage.2010" 34 2010 3.58872387238724 "Taurage"
"Mazeikiai.2010" 35 2010 2.56902059688945 "Mazeikiai"
"Plunge.2010" 36 2010 3.64708725515136 "Plunge"
"Telsiai.2010" 37 2010 3.35588235294118 "Telsiai"
"Anyksciai.2010" 38 2010 3.23870189407649 "Anyksciai"
"Ignalina.2010" 39 2010 3.19497876213592 "Ignalina"
"Moletai.2010" 40 2010 3.4092493718593 "Moletai"
"Utena.2010" 41 2010 3.67820489898087 "Utena"
"Zarasai.2010" 42 2010 3.54941316550434 "Zarasai"
"Salcininkai.2010" 43 2010 3.2114024136496 "Salcininkai"
"Sirvintos.2010" 44 2010 3.38742308638937 "Sirvintos"
"Svencionys.2010" 45 2010 3.17162952819619 "Svencionys"
"Trakai.2010" 46 2010 3.42188256273086 "Trakai"
"Ukmerge.2010" 47 2010 3.28766912669127 "Ukmerge"
"Vilnius.2010" 48 2010 3.36787930301742 "Vilnius"
