"Municipality" "Year" "ID" "LAI_Avg" "LAI_Med" "LAI_Q75" "LAI_Q90" "LAI_Max" "Forest_Coverage"
"181" "Kupiskis" 2008 28 2.78159809588059 2.60083798882682 3.31494685118331 3.87829121103069 4.55218612113919 29.3
"182" "Kupiskis" 2009 28 2.91711645042572 2.74596967278532 3.49742278379463 4.06048335288836 4.77388688327316 29.3
"183" "Kupiskis" 2010 28 3.1800242980267 2.96572226656026 3.7328168872844 4.34033894521665 5.08511833132772 29.3
"184" "Kupiskis" 2011 28 3.08124613664626 2.86504389465283 3.74511131167268 4.42714600771534 5.20431207380666 29.3
"185" "Kupiskis" 2012 28 3.1717106920356 2.95351157222666 3.78856297633373 4.46370035797728 5.24687123947052 29.3
"186" "Kupiskis" 2013 28 2.99771012681663 2.69489225857941 3.56291115122343 4.23448455617746 5.04843561973526 29.4
"187" "Kupiskis" 2014 28 3.13901214253501 2.87769353551476 3.90388086642599 4.56620537376863 5.30892498997192 29.4
"188" "Lazdijai" 2004 9 2.59562040568001 2.43213906581741 3.05922684674752 3.4550123987282 4.07198180815877 34.8
"189" "Lazdijai" 2005 9 2.89538672761454 2.66861730360934 3.52105154355017 4.03723125257986 4.71183847850055 34.9
"190" "Lazdijai" 2006 9 2.43476403886754 2.24179936305732 2.96184881477398 3.40426542795743 3.98413726571114 34.9
"191" "Lazdijai" 2007 9 2.85551546013095 2.69160031847134 3.30955071664829 3.79187017173199 4.41426405733186 34.9
"192" "Lazdijai" 2008 9 2.68347881136229 2.5224389596603 3.08897464167585 3.52000549785883 4.09130374862183 34.9
"193" "Lazdijai" 2009 9 2.82040119545253 2.61411889596603 3.3491283076075 3.86222849361426 4.55417585446527 34.9
"194" "Lazdijai" 2010 9 3.05924656731851 2.88882696390658 3.54567943770673 4.02945147780363 4.64636163175303 34.9
"195" "Lazdijai" 2011 9 2.98006077493192 2.8061703821656 3.49811535281147 3.99987457754068 4.66281697905182 35.5
"196" "Lazdijai" 2012 9 2.89188266399471 2.71287154989384 3.35553335170893 3.81970506297977 4.46182469680265 35
"197" "Lazdijai" 2013 9 3.0385430239551 2.77696390658174 3.57154423925028 4.16679299457333 4.91470507166483 35.2
"198" "Lazdijai" 2014 9 2.96326528813126 2.72523885350318 3.5143743109151 4.0564815309371 4.7079658213892 35.2
"199" "Marijampole" 2004 25 2.90935974743815 2.6968296256827 3.45990242261104 4.0358775203289 4.78436069986541 15.2
"200" "Marijampole" 2005 25 3.16500685653512 2.83211669108832 3.95977119784657 4.69051413228021 5.42995962314939 15.3
"201" "Marijampole" 2006 25 2.61544890827731 2.34072199280671 3.27812584118439 3.95562314419856 4.74006729475101 15.3
"202" "Marijampole" 2007 25 3.08469522286447 2.75236445983749 3.69031965006729 4.43910363262787 5.23183041722746 15.3
"203" "Marijampole" 2008 25 2.82578869265175 2.63788464100173 3.36245962314939 3.9491117027791 4.64567967698519 15.3
"204" "Marijampole" 2009 25 2.93431736354718 2.7153190355668 3.57670592193809 4.20396365803633 4.97763122476447 15.3
"205" "Marijampole" 2010 25 3.24847670771729 3.00745970427601 3.88993606998654 4.56864064314163 5.31865410497981 15.3
"206" "Marijampole" 2011 25 3.04983661859301 2.86870920474224 3.67996298788694 4.2894401026093 5.02687752355316 15.3
"207" "Marijampole" 2012 25 3.12807463790135 2.89525775942454 3.75581763122476 4.41655450520573 5.18467025572005 15.3
"208" "Marijampole" 2013 25 3.16548536535246 2.83206340748635 3.88061911170929 4.66011709330059 5.48878869448183 15.4
"209" "Marijampole" 2014 25 3.10830345006422 2.86316771013721 3.80519179004038 4.47558007713924 5.20462987886945 15.4
"210" "Mazeikiai" 2004 35 2.57469781701204 2.2671500630517 3.07633995302157 3.70464232182263 4.53348281016442 29.3
"211" "Mazeikiai" 2005 35 2.45527461659749 2.26004623791509 3.02534699978646 3.57029040764469 4.26307922272048 29.5
"212" "Mazeikiai" 2006 35 2.37396091102529 2.05970996216898 3.03425154815289 3.65841981155506 4.33254324151185 29.4
"213" "Mazeikiai" 2007 35 2.97846779729867 2.63873476250525 3.54965833867179 4.31818492322454 5.2034379671151 29.5
"214" "Mazeikiai" 2008 35 2.4791141942263 2.28476250525431 3.06613282084134 3.55040571816375 4.14514200298954 29.5
"215" "Mazeikiai" 2009 35 2.71988705033548 2.53722152164775 3.24622037155669 3.77092675260568 4.48285287209054 29.5
"216" "Mazeikiai" 2010 35 2.85353926591595 2.56902059688945 3.43539931667734 4.15114669622633 4.99310271193679 29.5
"217" "Mazeikiai" 2011 35 2.71969641262242 2.54695250105086 3.32095344864403 3.85249412324015 4.53907751441384 29.5
"218" "Mazeikiai" 2012 35 2.87322684249814 2.68217738545607 3.47997544309204 4.05967115008778 4.8152466367713 29.5
"219" "Mazeikiai" 2013 35 2.89722193512232 2.56441782261454 3.59650864830237 4.35420883915095 5.21373051462738 29.5
"220" "Mazeikiai" 2014 35 2.79441081257225 2.51506935687264 3.50658765748452 4.2094640171174 5.01637838992099 29.5
"221" "Moletai" 2004 40 3.02216574026358 2.83680904522613 3.63095393662202 4.1697190449075 4.86587716432538 28.5
"222" "Moletai" 2005 40 3.1655685146644 2.86155778894472 3.90855521071545 4.61244527342584 5.30984972231297 28.6
"223" "Moletai" 2006 40 2.66994662815677 2.44745603015075 3.27111646520745 3.82046389699722 4.44884024828487 28.5
"224" "Moletai" 2007 40 3.32418246686705 3.03754711055276 4.00534955896766 4.68854785817622 5.45276053577262 28.5
"225" "Moletai" 2008 40 2.87249772719023 2.61206030150754 3.45817951649788 4.04446912265143 4.71863770009801 28.9
"226" "Moletai" 2009 40 3.15251041373959 3.0130182160804 3.79943237504084 4.31201077862839 4.97151257758902 31.2
"227" "Moletai" 2010 40 3.6384792050122 3.4092493718593 4.17791979745181 4.76710551614584 5.45039202874877 31.2
